type,rep,m,infections,norm,scale,color
mad13,10,1.3208,1.055555556,1.055555556,local,black
mad13,10,1.3462,1.027027027,1.027027027,local,black
mad13,10,1.3716,0.863636364,0.863636364,local,black
mad13,10,1.397,0,0,local,black
mad13,10,1.4224,0,0,local,black
mad13,10,1.4478,0,0,local,black
mad13,10,1.4732,1.151515152,1.151515152,local,black
mad13,10,1.4986,0,0,local,black
mad13,10,1.524,0,0,local,black
mad14,11,0,241.875,241.875,local,black
mad14,11,0.0254,240,240,local,black
mad14,11,0.0508,80,80,local,black
mad14,11,0.0762,49.5,49.5,local,black
mad14,11,0.1016,41.78571429,41.78571429,local,black
mad14,11,0.127,35.68965517,35.68965517,local,black
mad14,11,0.1524,6.428571429,6.428571429,local,black
mad14,11,0.1778,10.26315789,10.26315789,local,black
mad14,11,0.2032,54.84375,54.84375,local,black
mad14,11,0.2286,46.40625,46.40625,local,black
mad14,11,0.254,11.25,11.25,local,black
mad14,11,0.2794,3,3,local,black
mad14,11,0.3048,6.818181818,6.818181818,local,black
mad14,11,0.3302,8.709677419,8.709677419,local,black
mad14,11,0.3556,4.35483871,4.35483871,local,black
mad14,11,0.381,5.192307692,5.192307692,local,black
mad14,11,0.4064,2.093023256,2.093023256,local,black
mad14,11,0.4318,52.5,52.5,local,black
mad14,11,0.4572,13.84615385,13.84615385,local,black
mad14,11,0.4826,7.5,7.5,local,black
mad14,11,0.508,15,15,local,black
mad14,11,0.5334,0,0,local,black
mad14,11,0.5588,5.625,5.625,local,black
mad14,11,0.5842,4.090909091,4.090909091,local,black
mad14,11,0.6096,0.725806452,0.725806452,local,black
mad14,11,0.635,10,10,local,black
mad14,11,0.6604,2.647058824,2.647058824,local,black
mad14,11,0.6858,1.363636364,1.363636364,local,black
mad14,11,0.7112,0,0,local,black
mad14,11,0.7366,0,0,local,black
mad14,11,0.762,1.285714286,1.285714286,local,black
mad14,11,0.7874,0,0,local,black
mad14,11,0.8128,0,0,local,black
mad14,11,0.8382,0,0,local,black
mad14,11,0.8636,0,0,local,black
mad14,11,0.889,0,0,local,black
mad14,11,0.9144,1,1,local,black
mad14,11,0.9398,0,0,local,black
mad14,11,0.9652,1.304347826,1.304347826,local,black
mad14,11,0.9906,0,0,local,black
mad14,11,1.016,0,0,local,black
mad14,11,1.0414,0,0,local,black
mad14,11,1.0668,0,0,local,black
mad14,11,1.0922,0,0,local,black
mad14,11,1.1176,0,0,local,black
mad14,11,1.143,1.323529412,1.323529412,local,black
mad14,11,1.1684,0,0,local,black
mad14,11,1.1938,0,0,local,black
mad14,11,1.2192,0,0,local,black
mad14,11,1.2446,0,0,local,black
mad14,11,1.27,0,0,local,black
mad14,11,1.2954,0,0,local,black
mad14,11,1.3208,0,0,local,black
mad14,11,1.3462,0,0,local,black
mad14,11,1.3716,0,0,local,black
mad14,11,1.397,0,0,local,black
mad14,11,1.4224,0,0,local,black
mad14,11,1.4478,0,0,local,black
mad14,11,1.4732,0,0,local,black
mad14,11,1.4986,0,0,local,black
mad14,11,1.524,0,0,local,black
st. croix,12,2730,0.62,3.01E-09,island,red
st. croix,12,3500,0.2,9.71E-10,island,red
st. croix,12,6920,0.52,2.52E-09,island,red
st. croix,12,10620,0.05,2.43E-10,island,red
